iter	Logloss
0	0.6250500247
1	0.5659490486
2	0.5174841145
3	0.4751178495
4	0.4405621138
5	0.4103401912
6	0.3855982056
7	0.364598429
8	0.3461674304
9	0.3273528873
10	0.3121072735
11	0.3011686695
12	0.2880967878
13	0.2795955452
14	0.2714799429
15	0.2647115143
16	0.2584663144
17	0.2530956185
18	0.2480430199
19	0.2424364495
20	0.2374360142
21	0.2333865422
22	0.2292979447
23	0.2259155412
24	0.2232280234
25	0.2201571049
26	0.2174355883
27	0.2147809552
28	0.2124995794
29	0.2105118209
30	0.2085453429
31	0.206999519
32	0.2048988477
33	0.2029842633
34	0.2013655943
35	0.1996347832
36	0.1982187751
37	0.1966262797
38	0.1956435816
39	0.1940499772
40	0.1928937178
41	0.1916893542
42	0.1908514674
43	0.1897129576
44	0.1887945466
45	0.1876368004
46	0.1864651876
47	0.1858789324
48	0.1852178863
49	0.1840673928
50	0.1831565316
51	0.1822703134
52	0.1812482557
53	0.1803997945
54	0.1798217345
55	0.1787825321
56	0.1782967601
57	0.177719988
58	0.17711036
59	0.1764551909
60	0.1755224456
61	0.1746712494
62	0.1742037305
63	0.1733542412
64	0.1726777339
65	0.171857209
66	0.1710661002
67	0.1703844883
68	0.1697810097
69	0.1692864026
70	0.1687162181
71	0.1684251335
72	0.1678318128
73	0.167492454
74	0.1672456573
75	0.1666971693
76	0.166258373
77	0.1654981466
78	0.1649892113
79	0.1645222541
80	0.1640567049
81	0.1635012545
82	0.1631610005
83	0.1627806661
84	0.1623576441
85	0.1618995482
86	0.1616543601
87	0.1613327537
88	0.1609711801
89	0.1605080122
90	0.1603316422
91	0.1597967369
92	0.1594374753
93	0.1588473466
94	0.158524505
95	0.1582667279
96	0.1575688742
97	0.156922139
98	0.1565879441
99	0.1563098065
100	0.1558750842
101	0.1556007929
102	0.1553564183
103	0.1549693986
104	0.1545587202
105	0.1541616194
106	0.1538803819
107	0.1534390215
108	0.1530424352
109	0.1527472973
110	0.152430877
111	0.1518384054
112	0.151470749
113	0.1508103535
114	0.150489405
115	0.1501934186
116	0.1499104014
117	0.1495350932
118	0.1491796046
119	0.148865122
120	0.1485446842
121	0.1482064541
122	0.1479545769
123	0.1476579362
124	0.1475174588
125	0.1471396676
126	0.1469672095
127	0.1464651842
128	0.1461109276
129	0.1458342241
130	0.1456382858
131	0.1454138309
132	0.1450637694
133	0.1447831455
134	0.144463071
135	0.1440803442
136	0.1439699173
137	0.1435129064
138	0.1432515044
139	0.1430500872
140	0.1427816384
141	0.1425881726
142	0.1422016695
143	0.1420663398
144	0.141928483
145	0.1416123638
146	0.1413216191
147	0.1410719476
148	0.1409183028
149	0.1406056203
150	0.1404753068
151	0.1402794505
152	0.1399137663
153	0.1396122135
154	0.1391512085
155	0.1388759171
156	0.1386984173
157	0.1383888836
158	0.1381217108
159	0.1379431315
160	0.1377461029
161	0.1374463765
162	0.1371889342
163	0.1369898397
164	0.1368443178
165	0.1364858504
166	0.1362178154
167	0.1360085224
168	0.1356874217
